Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Gym Distance,Gym Duration,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
CondominiumCondominium,22,2.53.0,30643064,,"$5,550,000",1020 Prospect St UNIT 202 1020 Prospect St UNIT 202,La Jolla La Jolla,CA CA,32.84797932,-117.274739,0.09987707848425034,0.2 mi,1 min,20172017,01/30/201901/30/2019,30675535537,,,54451515491702,2019-01-31,2501945122093309310,https://www.zillow.com/homedetails/1020-Prospect-St-UNIT-202-La-Jolla-CA-92037/250194512_zpid/https://www.zillow.com/homedetails/1020-Prospect-St-UNIT-202-La-Jolla-CA-92037/2093309310_zpid/
Condominium,2,3.0,2137,,"$5,695,000",1020 Prospect St PH 5,La Jolla,CA,32.847979,-117.274739,0.09988756639765109,0.2 mi,1 min,2017,01/30/2019,48521,,,6306042,2019-01-31,2088944135,https://www.zillow.com/homedetails/1020-Prospect-St-PH-5-La-Jolla-CA-92037/2088944135_zpid/
SingleFamily,6,5.0,5949,20473,"$5,850,000",925 Havenhurst Dr,LA JOLLA,CA,32.823521,-117.269139,0.8891544185594948,2.5 mi,10 mins,1975,01/30/2019,59032,,,5761334,2019-01-31,16854814,https://www.zillow.com/homedetails/925-Havenhurst-Dr-La-Jolla-CA-92037/16854814_zpid/
SingleFamily,7,5.0,8962,32670,"$5,950,000",9789 Black Gold Rd,LA JOLLA,CA,32.884732,-117.245628,2.4671447699767715,4.7 mi,14 mins,1994,01/30/2019,-274440,09/29/2017,3775000,4292583,2019-01-31,16834413,https://www.zillow.com/homedetails/9789-Black-Gold-Rd-La-Jolla-CA-92037/16834413_zpid/
SingleFamily,6,7.0,6187,10454,"$5,955,000",6604 Muirlands Dr,LA JOLLA,CA,32.832409,-117.261492,1.160951889151676,1.6 mi,7 mins,2013,01/30/2019,-127435,07/17/2009,2900000,5542633,2019-01-31,112905020,https://www.zillow.com/homedetails/6604-Muirlands-Dr-La-Jolla-CA-92037/112905020_zpid/
SingleFamily,5,6.0,5150,10890,"$5,995,000",7235 Carrizo Dr,LA JOLLA,CA,32.839793,-117.259748,0.7182416571465052,1.3 mi,6 mins,2018,01/30/2019,57326,10/28/2004,1065000,5739578,2019-01-31,99552956,https://www.zillow.com/homedetails/7235-Carrizo-Dr-La-Jolla-CA-92037/99552956_zpid/
SingleFamily,4,5.0,4800,20037,"$5,999,995",1678 Marisma Way,LA JOLLA,CA,32.833323,-117.258291,1.1693025945640174,2.2 mi,8 mins,2005,01/30/2019,-47468,05/21/2015,4550000,5580164,2019-01-31,52514265,https://www.zillow.com/homedetails/1678-Marisma-Way-La-Jolla-CA-92037/52514265_zpid/
SingleFamily,6,8.0,5101,21780,"$6,000,000",7940 Costebelle Way,LA JOLLA,CA,32.852232,-117.244607,1.0089491473806447,2.7 mi,9 mins,2016,01/30/2019,-64370,07/14/2011,1350000,5698646,2019-01-31,87616911,https://www.zillow.com/homedetails/7940-Costebelle-Way-La-Jolla-CA-92037/87616911_zpid/
Condominium,3,3.0,2427,,"$6,395,000",1020 Prospect St STE 350,La Jolla,CA,32.847985,-117.274751,0.09907764436602658,0.2 mi,1 min,2017,01/30/2019,176224,,,6207694,2019-01-31,2095373606,https://www.zillow.com/homedetails/1020-Prospect-St-STE-350-La-Jolla-CA-92037/2095373606_zpid/
SingleFamily,4,5.0,4647,24829,"$6,475,000",8316 Prestwick Dr,LA JOLLA,CA,32.85745,-117.247838,0.9097584220992743,2.7 mi,10 mins,1990,01/30/2019,471962,10/01/2014,5850000,6359994,2019-01-31,16838670,https://www.zillow.com/homedetails/8316-Prestwick-Dr-La-Jolla-CA-92037/16838670_zpid/
SingleFamily,5,7.0,6256,10890,"$6,495,000",6125 Terryhill Dr,LA JOLLA,CA,32.82331,-117.266423,1.0277699331912489,2.4 mi,10 mins,2016,01/30/2019,-295231,03/04/2005,2000000,6605777,2019-01-31,16855007,https://www.zillow.com/homedetails/6125-Terryhill-Dr-La-Jolla-CA-92037/16855007_zpid/
SingleFamily,6,8.0,5825,17202,"$6,495,000",1977 Paseo Dorado,LA JOLLA,CA,32.851736,-117.259056,0.16975058868841164,1.3 mi,6 mins,2000,01/30/2019,101641,,,6083652,2019-01-31,16839162,https://www.zillow.com/homedetails/1977-Paseo-Dorado-La-Jolla-CA-92037/16839162_zpid/
SingleFamily,6,7.0,6979,47916,"$6,900,000",1090 Solymar Dr,LA JOLLA,CA,32.825834,-117.266395,0.9484714046749988,2.3 mi,9 mins,1974,01/30/2019,-182471,10/30/2009,5125000,6667856,2019-01-31,16851177,https://www.zillow.com/homedetails/1090-Solymar-Dr-La-Jolla-CA-92037/16851177_zpid/
Condominium,3,4.0,3724,,"$6,995,000",353 Coast Blvd,LA JOLLA,CA,32.841952,-117.280859,0.04917562579967248,0.5 mi,3 mins,2010,01/30/2019,-72935,03/02/2010,5528000,6369450,2019-01-31,111435037,https://www.zillow.com/homedetails/353-Coast-Blvd-La-Jolla-CA-92037/111435037_zpid/
SingleFamily,5,6.0,5213,7501,"$6,999,000",1257 Silverado St,LA JOLLA,CA,32.846882,-117.270275,0.19015499822645074,0.4 mi,3 mins,2013,01/30/2019,94063,08/15/2006,1500000,6055264,2019-01-31,16848158,https://www.zillow.com/homedetails/1257-Silverado-St-La-Jolla-CA-92037/16848158_zpid/
SingleFamily,4,7.0,8849,9104,"$7,588,000",7750 Lookout Dr,LA JOLLA,CA,32.848495,-117.259332,0.2737915218412777,1.3 mi,6 mins,2017,01/30/2019,-122407,06/05/2002,1175000,7044352,2019-01-31,61677715,https://www.zillow.com/homedetails/7750-Lookout-Dr-La-Jolla-CA-92037/61677715_zpid/
Condominium,2,4.0,2647,,"$7,595,000",1020 Prospect St STE 1,La Jolla,CA,32.847985,-117.274751,0.09907764436602658,0.2 mi,1 min,2017,01/30/2019,-10173,,,5834494,2019-01-31,2089114185,https://www.zillow.com/homedetails/1020-Prospect-St-STE-1-La-Jolla-CA-92037/2089114185_zpid/
SingleFamily,4,8.0,7611,10890,"$7,900,000",7930 Costebelle Way,LA JOLLA,CA,32.851968,-117.244835,0.9953097215160698,2.7 mi,9 mins,2018,01/30/2019,-233582,09/06/2016,1175271,5482710,2019-01-31,87616910,https://www.zillow.com/homedetails/7930-Costebelle-Way-La-Jolla-CA-92037/87616910_zpid/
VacantResidentialLand,,,,48787,"$7,995,000",1120 Muirlands Dr LOT LOTS,La Jolla,CA,32.827194,-117.265405,0.9708469971730302,2.4 mi,9 mins,,01/01/1970,,,,,2019-01-31,2087664555,https://www.zillow.com/homedetails/1120-Muirlands-Dr-LOT-LOTS-La-Jolla-CA-92037/2087664555_zpid/
VacantResidentialLand,6,,4854,48787,"$7,995,000",1120 Muirlands Dr,LA JOLLA,CA,32.827194,-117.265405,0.9708469971730302,2.4 mi,9 mins,1945,01/01/1970,,04/02/2018,7400000,,2019-01-31,54906529,https://www.zillow.com/homedetails/1120-Muirlands-Dr-La-Jolla-CA-92037/54906529_zpid/
