Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
SingleFamily,3,2,1702,135289,"$949,000 ",2460 Azure Coast Dr,LA JOLLA,CA,32.850079,-117.24973,0.720666614,1977,1/20/2019,151052,,,1293010,1/21/2019,16851353,https://www.zillow.com/homedetails/2460-Azure-Coast-Dr-La-Jolla-CA-92037/16851353_zpid/
SingleFamily,3,3,3000,325393,"$2,275,000 ",6698 Caminito Hermitage,LA JOLLA,CA,32.837714,-117.24168,1.527280984,1978,1/20/2019,2552,3/29/2016,1850000,2149089,1/21/2019,16852574,https://www.zillow.com/homedetails/6698-Caminito-Hermitage-La-Jolla-CA-92037/16852574_zpid/
Condominium,3,2,1271,,"$2,280,000 ",245 Prospect St UNIT 3,LA JOLLA,CA,32.840262,-117.280047,0.123866002,1982,1/20/2019,-11909,6/17/2011,1300000,2171167,1/21/2019,16848619,https://www.zillow.com/homedetails/245-Prospect-St-UNIT-3-La-Jolla-CA-92037/16848619_zpid/
SingleFamily,3,2,1280,7501,"$2,295,000 ",5641 Chelsea Ave,LA JOLLA,CA,32.81454,-117.270779,1.306371607,1944,1/20/2019,35320,,,1925950,1/21/2019,16855639,https://www.zillow.com/homedetails/5641-Chelsea-Ave-La-Jolla-CA-92037/16855639_zpid/
SingleFamily,4,3,2942,10890,"$2,295,000 ",6275 Cardeno Dr,LA JOLLA,CA,32.829411,-117.246824,1.713019531,1985,1/20/2019,-1910,12/21/2015,1650000,2059939,1/21/2019,16857665,https://www.zillow.com/homedetails/6275-Cardeno-Dr-La-Jolla-CA-92037/16857665_zpid/
SingleFamily,3,3,1870,2500,"$2,295,000 ",253 Kolmar St,La Jolla,CA,32.827779,-117.278642,0.28614906,2018,1/20/2019,-45012,,,2377207,1/21/2019,2087173857,https://www.zillow.com/homedetails/253-Kolmar-St-La-Jolla-CA-92037/2087173857_zpid/
VacantResidentialLand,,,,33541,"$2,350,000 ",2072 Via Casa Alta LOT 15,La Jolla,CA,32.839933,-117.251004,1.007043737,,1/1/1970,,,,,1/21/2019,2087132714,https://www.zillow.com/homedetails/2072-Via-Casa-Alta-LOT-15-La-Jolla-CA-92037/2087132714_zpid/
SingleFamilySingleFamilySingleFamilySingleFamily,3,3,3534,1.4549E+19,"$2,395,000 ",7224 Carrizo Dr 7224 Carrizo Dr 7224 Carrizo Dr 7224 Carrizo Dr,LA JOLLA La Jolla La Jolla La Jolla,CA CA CA CA,32.83919832,-117.259738,0.757095507,1951,01/20/201901/01/197001/01/197001/01/1970,-244139,6/5/2008,1350000,3109437,1/21/2019,1.68515E+31,https://www.zillow.com/homedetails/7224-Carrizo-Dr-La-Jolla-CA-92037/16851547_zpid/https://www.zillow.com/homedetails/7224-Carrizo-Dr-La-Jolla-CA-92037/99538679_zpid/https://www.zillow.com/homedetails/7224-Carrizo-Dr-La-Jolla-CA-92037/99570753_zpid/https://www.zillow.com/homedetails/7224-Carrizo-Dr-La-Jolla-CA-92037/99576270_zpid/
Condominium,3,3,2312,,"$2,398,000 ",7603 Draper Ave,La Jolla,CA,32.841424,-117.276475,0.265087586,2017,1/20/2019,49233,,,2246414,1/21/2019,250193800,https://www.zillow.com/homedetails/7603-Draper-Ave-La-Jolla-CA-92037/250193800_zpid/
SingleFamily,4,3,3060,9800,"$2,399,900 ",5711 Skylark Pl,LA JOLLA,CA,32.818784,-117.26186,1.423676138,1959,1/20/2019,-21351,3/26/2015,1450000,2261335,1/21/2019,16855562,https://www.zillow.com/homedetails/5711-Skylark-Pl-La-Jolla-CA-92037/16855562_zpid/
