title,bedrooms,bathrooms,sqft,price,bedrooms 2,price 2,address,city,state,lat,lon,id,date scraped,url
For Rent,1,,,"$2,500+",,,8110 Camino Del Sol, La Jolla, CA,32854427,-117257204,2079484153,2019-01-20,"https://www.zillow.com/b/8110-Camino-Del-Sol-La-Jolla-CA/32.854427,-117.257204_ll/"
For Rent,0,,,"$2,500",2,"$5,900+",939 Coast Blvd, La Jolla, CA,32847897,-117276197,32.847897--117.276197,2019-01-20,"https://www.zillow.com/b/939-Coast-Blvd-LA-JOLLA-CA/32.847897,-117.276197_ll/"
Apartment for rent,2,2,978,"$2,500",,,3148 Via Alicante UNIT E, La Jolla, CA,32861448,-117234108,16841517,2019-01-20,https://www.zillow.com/homedetails/3148-Via-Alicante-UNIT-E-La-Jolla-CA-92037/16841517_zpid/
POSITANO,1,,,"$2,500+",,,7411 Herschel Ave, La Jolla, CA,32839788,-117270742,32.839788--117.270742,2019-01-20,"https://www.zillow.com/b/POSITANO-LA-JOLLA-CA/32.839788,-117.270742_ll/"
Apartment for rent,1,1,800,"$2,550",,,7680 La Jolla Blvd, La Jolla, CA,32841903,-117280378,2086547093,2019-01-20,https://www.zillow.com/homedetails/7680-La-Jolla-Blvd-La-Jolla-CA-92037/2086547093_zpid/
Apartment for rent,1,1,558,"$2,600",,,7514 Girard Ave APT 29, La Jolla, CA,32840716,-117272964,69223341,2019-01-20,https://www.zillow.com/homedetails/7514-Girard-Ave-APT-29-La-Jolla-CA-92037/69223341_zpid/
House for rent,2,1.5,748,"$2,650",,,7510 Draper Ave, San Diego, CA,32839888,-117276546,2131652998,2019-01-20,https://www.zillow.com/homedetails/7510-Draper-Ave-San-Diego-CA-92037/2131652998_zpid/
For Rent,2,,,"$2,795+",,,8638 Villa La Jolla Dr, La Jolla, CA,32866126,-117234359,32.866126--117.234359,2019-01-20,"https://www.zillow.com/b/8638-Villa-La-Jolla-Dr-La-Jolla-CA/32.866126,-117.234359_ll/"
Townhouse for rent,2,2,"1,111","$2,795",,,3327 Caminito Gandara, La Jolla, CA,32854187,-117234389,16840799,2019-01-20,https://www.zillow.com/homedetails/3327-Caminito-Gandara-La-Jolla-CA-92037/16840799_zpid/
Apartment for rent,2,2,"1,017","$2,800",,,3187 Via Alicante, La Jolla, CA,32860186,-117234888,2115693802,2019-01-20,https://www.zillow.com/homedetails/3187-Via-Alicante-La-Jolla-CA-92037/2115693802_zpid/
Apartment for rent,1,1,"1,250","$2,850",,,7550 Eads Ave UNIT 203, La Jolla, CA,32840626,-117275503,16848694,2019-01-20,https://www.zillow.com/homedetails/7550-Eads-Ave-UNIT-203-La-Jolla-CA-92037/16848694_zpid/
For Rent,2,,,"$2,850+",,,7811 Eads Ave, La Jolla, CA,32845008,-117276189,1001587818,2019-01-20,https://www.zillow.com/b/7811-eads-ave-la-jolla-ca-5XkMRj/
Condo for rent,2,1,900,"$2,850",,,3115 Evening Way, La Jolla, CA,32869183,-117237453,2093326211,2019-01-20,https://www.zillow.com/homedetails/3115-Evening-Way-La-Jolla-CA-92037/2093326211_zpid/
Apartment for rent,2,2,969,"$2,895",,,5538 La Jolla Blvd APT 2C, La Jolla, CA,32812918,-117269176,2102949639,2019-01-20,https://www.zillow.com/homedetails/5538-La-Jolla-Blvd-APT-2C-La-Jolla-CA-92037/2102949639_zpid/
Apartment for rent,2,2,--,"$2,895",,,1135 Torrey Pines Road 2a # 2A, La Jolla, CA,32843277,-117271059,2086431104,2019-01-20,https://www.zillow.com/homedetails/1135-Torrey-Pines-Road-2a-2A-La-Jolla-CA-92037/2086431104_zpid/
Apartment for rent,2,1,--,"$2,900",,,2155 Avenida De La Ribera, La Jolla, CA,32854474,-117256284,2086567497,2019-01-20,https://www.zillow.com/homedetails/2155-Avenida-De-La-Ribera-La-Jolla-CA-92037/2086567497_zpid/
Apartment for rent,2,2,900,"$2,995",,,7517 Herschel Ave APT 6, La Jolla, CA,32841237,-117271202,2123246035,2019-01-20,https://www.zillow.com/homedetails/7517-Herschel-Ave-APT-6-La-Jolla-CA-92037/2123246035_zpid/
Apartment for rent,Studio,1,719,"$3,000",,,La Jolla Blvd, La Jolla, CA,32812060,-117269160,2086820616,2019-01-20,https://www.zillow.com/homedetails/La-Jolla-Blvd-La-Jolla-CA-92037/2086820616_zpid/
For Rent,2,,,"$3,000",3,"$5,000",8161 Via Mallorca, La Jolla, CA,32854621,-117234974,32.854621--117.234974,2019-01-20,"https://www.zillow.com/b/8161-Via-Mallorca-LA-JOLLA-CA/32.854621,-117.234974_ll/"
Condo for rent,2,2.5,"1,074","$3,000",,,8470 Via Sonoma UNIT 33, La Jolla, CA,32859921,-117231122,16840746,2019-01-20,https://www.zillow.com/homedetails/8470-Via-Sonoma-UNIT-33-La-Jolla-CA-92037/16840746_zpid/
Condo for rent,2,2,"1,002","$3,000",,,7509 Draper Ave UNIT 200, La Jolla, CA,32840047,-117275855,63656593,2019-01-20,https://www.zillow.com/homedetails/7509-Draper-Ave-UNIT-200-La-Jolla-CA-92037/63656593_zpid/
