title,beds,bath,sqft,price,address,city,state,lat,lon,date scraped,id,url
House for sale,3,2,"2,125","$1,965,000 ",926 La Jolla Rancho Rd,LA JOLLA,CA,32820321,-117264486,1/19/2019,16855327,https://www.zillow.com/homedetails/926-La-Jolla-Rancho-Rd-La-Jolla-CA-92037/16855327_zpid/
House for sale,2,4,"1,588","$1,995,000 ",7595 Hillside Dr,LA JOLLA,CA,32845832,-117256209,1/19/2019,16851373,https://www.zillow.com/homedetails/7595-Hillside-Dr-La-Jolla-CA-92037/16851373_zpid/
Lot / Land for sale,,,0.79,"$1,995,000 ",7595 Hillside Dr LOT 0,La Jolla,CA,32845807,-117256103,1/19/2019,2088946995,https://www.zillow.com/homedetails/7595-Hillside-Dr-LOT-0-La-Jolla-CA-92037/2088946995_zpid/
House for sale,2,2,"1,920","$1,995,000 ",7570 Caminito Avola,LA JOLLA,CA,32846534,-117254658,1/19/2019,52514269,https://www.zillow.com/homedetails/7570-Caminito-Avola-La-Jolla-CA-92037/52514269_zpid/
House for sale,4,4,"3,379","$1,998,000 ",778 La Canada St,LA JOLLA,CA,32821916,-117267573,1/19/2019,16854794,https://www.zillow.com/homedetails/778-La-Canada-St-La-Jolla-CA-92037/16854794_zpid/
House for sale,3,4,"1,763","$1,998,800 ",8014 La Jolla Shores Dr,La Jolla,CA,32852671,-117253966,1/19/2019,2087521785,https://www.zillow.com/homedetails/8014-La-Jolla-Shores-Dr-La-Jolla-CA-92037/2087521785_zpid/
House for sale,3,4,"2,678","$1,999,000 ",758 Bonair St,La Jolla,CA,32831609,-117272523,1/19/2019,145640921,https://www.zillow.com/homedetails/758-Bonair-St-La-Jolla-CA-92037/145640921_zpid/
House for sale,4,2,"2,123","$1,999,000 ",1073 Skylark Dr,LA JOLLA,CA,32816242,-117261815,1/19/2019,16855824,https://www.zillow.com/homedetails/1073-Skylark-Dr-La-Jolla-CA-92037/16855824_zpid/
House for sale,4,4,"2,420","$1,999,999 ",1713 Calle De Andluca,LA JOLLA,CA,32820805,-117245329,1/19/2019,16857915,https://www.zillow.com/homedetails/1713-Calle-De-Andluca-La-Jolla-CA-92037/16857915_zpid/
House for sale,4,3,"2,276","$1,999,999 ",5403 Beaumont Ave,LA JOLLA,CA,32811841,-117264285,1/19/2019,16856176,https://www.zillow.com/homedetails/5403-Beaumont-Ave-La-Jolla-CA-92037/16856176_zpid/
House for sale,5,3,"3,859","$2,098,000 ",5590 Coral Reef Ave,LA JOLLA,CA,32820005,-117237809,1/19/2019,16857554,https://www.zillow.com/homedetails/5590-Coral-Reef-Ave-La-Jolla-CA-92037/16857554_zpid/
House for sale,4,4,"3,324","$2,099,000 ",1604 El Paso Real,LA JOLLA,CA,32830765,-117258738,1/19/2019,16851386,https://www.zillow.com/homedetails/1604-El-Paso-Real-La-Jolla-CA-92037/16851386_zpid/
House for sale,3,2,"1,429","$2,125,000 ",552 Rushville St,LA JOLLA,CA,32834896,-117276347,1/19/2019,16849498,https://www.zillow.com/homedetails/552-Rushville-St-La-Jolla-CA-92037/16849498_zpid/
House for sale,6,4,"3,225","$2,150,000 ",930 Archer St,SAN DIEGO,CA,32811304,-117257476,1/19/2019,16907744,https://www.zillow.com/homedetails/930-Archer-St-San-Diego-CA-92109/16907744_zpid/
House for sale,3,4,"2,200","$2,150,000 ",7901 Avenida Kirjah,LA JOLLA,CA,32849863,-117237242,1/19/2019,16841827,https://www.zillow.com/homedetails/7901-Avenida-Kirjah-La-Jolla-CA-92037/16841827_zpid/
